stress_level,method,groups,mean_task_success,ci95_task_success,mean_dominant_failure_accuracy,ci95_dominant_failure_accuracy,mean_dominant_failure_rate,ci95_dominant_failure_rate,mean_safety_violation_rate,ci95_safety_violation_rate,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
0.0,conformal_risk_shield,175,0.71214,0.00938,0.35694,0.00951,0.20653,0.00872,0.01908,0.00273,0.12727,0.00304
0.0,constraint_aware_mpc,175,0.75143,0.00820,0.42061,0.00893,0.16439,0.00659,0.02745,0.00324,0.10220,0.00246
0.0,online_system_identification,175,0.77245,0.00850,0.60612,0.01022,0.11704,0.00687,0.03439,0.00401,0.08765,0.00256
0.0,oracle_failure_family,175,0.99092,0.00188,0.98357,0.00235,0.00010,0.00020,0.00122,0.00073,0.00029,0.00012
0.0,per_morphology_calibrated_predictor,175,0.67010,0.00976,0.54398,0.01041,0.16786,0.00736,0.09500,0.00662,0.15740,0.00322
0.0,proposed_failure_predictive_morphology,175,0.76133,0.00857,0.72908,0.00850,0.08582,0.00621,0.04796,0.00475,0.09393,0.00238
0.0,red_team_failure_retrieval,175,0.74408,0.00869,0.61990,0.00950,0.11745,0.00661,0.04490,0.00449,0.10309,0.00255
0.2,conformal_risk_shield,175,0.67388,0.00940,0.34949,0.00922,0.23316,0.00865,0.02612,0.00328,0.15511,0.00272
0.2,constraint_aware_mpc,175,0.70745,0.00875,0.40459,0.00963,0.19500,0.00793,0.03429,0.00402,0.13129,0.00262
0.2,online_system_identification,175,0.73735,0.00953,0.59520,0.00944,0.13010,0.00637,0.03929,0.00422,0.10855,0.00243
0.2,oracle_failure_family,175,0.98612,0.00216,0.98388,0.00245,0.00031,0.00034,0.00122,0.00073,0.00047,0.00014
0.2,per_morphology_calibrated_predictor,175,0.61459,0.01071,0.51143,0.00917,0.20184,0.00799,0.10898,0.00683,0.19171,0.00318
0.2,proposed_failure_predictive_morphology,175,0.72480,0.00872,0.71418,0.00909,0.09898,0.00595,0.05633,0.00499,0.11469,0.00247
0.2,red_team_failure_retrieval,175,0.70204,0.00971,0.60796,0.00936,0.14214,0.00682,0.05551,0.00523,0.12758,0.00285
0.4,conformal_risk_shield,175,0.65418,0.01086,0.32898,0.00893,0.24469,0.00954,0.03408,0.00358,0.17304,0.00332
0.4,constraint_aware_mpc,175,0.67735,0.00944,0.39857,0.00913,0.20878,0.00793,0.03969,0.00375,0.14988,0.00274
0.4,online_system_identification,175,0.72582,0.00924,0.58959,0.00943,0.13143,0.00618,0.05224,0.00452,0.12268,0.00267
0.4,oracle_failure_family,175,0.96663,0.00344,0.98408,0.00236,0.00051,0.00044,0.00551,0.00152,0.00203,0.00033
0.4,per_morphology_calibrated_predictor,175,0.57337,0.01028,0.49980,0.01026,0.22469,0.00845,0.13673,0.00666,0.22225,0.00303
0.4,proposed_failure_predictive_morphology,175,0.69143,0.00919,0.69510,0.00902,0.11653,0.00555,0.07051,0.00564,0.13407,0.00270
0.4,red_team_failure_retrieval,175,0.68194,0.00832,0.60265,0.01029,0.14092,0.00699,0.07122,0.00574,0.14397,0.00279
0.6,conformal_risk_shield,175,0.61296,0.00965,0.30867,0.00945,0.28071,0.00904,0.04163,0.00452,0.20356,0.00333
0.6,constraint_aware_mpc,175,0.63490,0.01069,0.38357,0.01008,0.24255,0.00926,0.05224,0.00467,0.18106,0.00340
0.6,online_system_identification,175,0.68235,0.00927,0.57480,0.01062,0.15745,0.00766,0.06122,0.00588,0.14627,0.00304
0.6,oracle_failure_family,175,0.93888,0.00553,0.98520,0.00217,0.00082,0.00055,0.00949,0.00198,0.00493,0.00052
0.6,per_morphology_calibrated_predictor,175,0.54245,0.01018,0.47653,0.00936,0.24878,0.00815,0.14276,0.00785,0.25158,0.00332
0.6,proposed_failure_predictive_morphology,175,0.65398,0.00909,0.67184,0.00858,0.13245,0.00665,0.07980,0.00608,0.15918,0.00302
0.6,red_team_failure_retrieval,175,0.65194,0.00874,0.57296,0.01037,0.17286,0.00661,0.08378,0.00566,0.17261,0.00298
0.8,conformal_risk_shield,175,0.57439,0.01069,0.29224,0.00870,0.31235,0.00950,0.04673,0.00438,0.23463,0.00335
0.8,constraint_aware_mpc,175,0.60592,0.00985,0.37143,0.00955,0.26051,0.00958,0.06347,0.00508,0.20858,0.00353
0.8,online_system_identification,175,0.65286,0.00923,0.56245,0.01016,0.17092,0.00807,0.07612,0.00609,0.16966,0.00323
0.8,oracle_failure_family,175,0.90888,0.00615,0.98429,0.00244,0.00143,0.00087,0.01857,0.00290,0.01177,0.00093
0.8,per_morphology_calibrated_predictor,175,0.48633,0.01009,0.44286,0.01018,0.29714,0.00935,0.16908,0.00760,0.29135,0.00364
0.8,proposed_failure_predictive_morphology,175,0.61449,0.00885,0.65510,0.01033,0.15765,0.00749,0.10061,0.00624,0.18598,0.00321
0.8,red_team_failure_retrieval,175,0.61071,0.00922,0.55806,0.01003,0.19857,0.00802,0.09949,0.00646,0.20022,0.00347
1.0,conformal_risk_shield,175,0.54133,0.01029,0.27827,0.00930,0.34551,0.00979,0.05806,0.00497,0.26483,0.00353
1.0,constraint_aware_mpc,175,0.56510,0.00977,0.35847,0.01066,0.29041,0.00910,0.07929,0.00572,0.23973,0.00324
1.0,online_system_identification,175,0.61112,0.01077,0.55735,0.00899,0.19510,0.00858,0.09235,0.00580,0.19563,0.00365
1.0,oracle_failure_family,175,0.87878,0.00655,0.98510,0.00252,0.00173,0.00079,0.02806,0.00380,0.02439,0.00133
1.0,per_morphology_calibrated_predictor,175,0.44888,0.00988,0.41653,0.00965,0.32949,0.00913,0.17633,0.00735,0.32333,0.00349
1.0,proposed_failure_predictive_morphology,175,0.57816,0.01038,0.64735,0.01050,0.17347,0.00828,0.11143,0.00677,0.21257,0.00346
1.0,red_team_failure_retrieval,175,0.56980,0.01056,0.53020,0.00940,0.22582,0.00827,0.10939,0.00674,0.22892,0.00373
