method,split,morphology,task,seed,episodes,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,3,96,0.197917,0.322917,0.016690,0.398950,0.101650,0.645833,0.270833,0.062500,0.006764,0.166667,0.181582
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,4,96,0.208333,0.427083,0.036024,0.408325,0.101650,0.593750,0.333333,0.135417,0.008454,0.197917,0.206489
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,5,96,0.156250,0.333333,0.021326,0.395617,0.101650,0.593750,0.343750,0.083333,0.005073,0.145833,0.200334
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,6,96,0.229167,0.447917,0.058503,0.412075,0.101650,0.697917,0.250000,0.072917,0.011160,0.270833,0.176275
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,0,96,0.250000,0.395833,0.079955,0.409992,0.101650,0.625000,0.270833,0.093750,0.006084,0.135417,0.185929
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,1,96,0.270833,0.395833,0.082995,0.412075,0.101650,0.562500,0.333333,0.156250,0.006374,0.166667,0.213228
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,2,96,0.177083,0.375000,0.002174,0.401033,0.101650,0.697917,0.260417,0.104167,0.006663,0.208333,0.186283
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,3,96,0.197917,0.354167,0.012407,0.401450,0.101650,0.718750,0.218750,0.125000,0.006663,0.197917,0.180311
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,4,96,0.229167,0.406250,0.055678,0.408742,0.101650,0.677083,0.270833,0.093750,0.008981,0.239583,0.186488
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,5,96,0.260417,0.427083,0.071752,0.413533,0.101650,0.697917,0.229167,0.135417,0.006084,0.187500,0.187540
generic_failure_predictor,nominal_morphology,differential_drive,disturbance_recovery,6,96,0.187500,0.343750,0.006963,0.399575,0.101650,0.718750,0.260417,0.062500,0.005505,0.156250,0.174054
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,0,96,0.281250,0.437500,0.106565,0.400505,0.112360,0.614583,0.312500,0.104167,0.004845,0.125000,0.197832
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,1,96,0.239583,0.333333,0.067112,0.388005,0.112360,0.614583,0.291667,0.135417,0.008074,0.229167,0.199681
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,2,96,0.354167,0.541667,0.168635,0.416130,0.112360,0.604167,0.270833,0.093750,0.009043,0.166667,0.184922
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,3,96,0.250000,0.437500,0.067817,0.397380,0.112360,0.583333,0.281250,0.114583,0.006137,0.156250,0.195151
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,4,96,0.229167,0.343750,0.047662,0.387797,0.112360,0.708333,0.239583,0.125000,0.005814,0.145833,0.180778
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,5,96,0.281250,0.447917,0.093492,0.401338,0.112360,0.572917,0.291667,0.072917,0.007751,0.187500,0.193353
generic_failure_predictor,nominal_morphology,quadruped,tight_turn_navigation,6,96,0.250000,0.416667,0.073200,0.395713,0.112360,0.625000,0.291667,0.145833,0.008397,0.187500,0.197418
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,0,96,0.218750,0.406250,0.040833,0.391755,0.112360,0.520833,0.375000,0.083333,0.007112,0.208333,0.211430
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,1,96,0.291667,0.489583,0.107827,0.405713,0.112360,0.635417,0.270833,0.145833,0.007112,0.166667,0.192995
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,2,96,0.197917,0.406250,0.019273,0.389672,0.112360,0.708333,0.218750,0.093750,0.008001,0.229167,0.170594
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,3,96,0.218750,0.343750,0.040068,0.386755,0.112360,0.677083,0.270833,0.125000,0.007704,0.218750,0.183479
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,4,96,0.229167,0.364583,0.040611,0.389463,0.112360,0.593750,0.333333,0.218750,0.007408,0.218750,0.214934
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,5,96,0.187500,0.343750,0.007812,0.383630,0.112360,0.645833,0.302083,0.114583,0.005630,0.166667,0.189671
generic_failure_predictor,nominal_morphology,quadruped,payload_transport,6,96,0.239583,0.427083,0.046315,0.395505,0.112360,0.729167,0.177083,0.083333,0.006223,0.156250,0.161083
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,0,96,0.270833,0.406250,0.086805,0.396963,0.112360,0.500000,0.395833,0.156250,0.008590,0.218750,0.240108
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,1,96,0.166667,0.333333,0.009045,0.380713,0.112360,0.687500,0.250000,0.062500,0.009226,0.250000,0.185261
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,2,96,0.135417,0.322917,0.043650,0.376755,0.112360,0.729167,0.250000,0.062500,0.007953,0.208333,0.180536
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,3,96,0.218750,0.416667,0.038162,0.392588,0.112360,0.520833,0.364583,0.083333,0.006681,0.197917,0.221431
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,4,96,0.281250,0.479167,0.097848,0.403838,0.112360,0.614583,0.333333,0.125000,0.006044,0.135417,0.211459
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,5,96,0.250000,0.447917,0.072893,0.398213,0.112360,0.645833,0.270833,0.208333,0.006681,0.177083,0.210355
generic_failure_predictor,nominal_morphology,quadruped,gap_or_step_crossing,6,96,0.208333,0.395833,0.031797,0.389880,0.112360,0.541667,0.375000,0.083333,0.004772,0.135417,0.220584
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,0,96,0.270833,0.406250,0.095363,0.396963,0.112360,0.625000,0.270833,0.145833,0.008097,0.166667,0.207735
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,1,96,0.270833,0.406250,0.109434,0.396963,0.112360,0.510417,0.375000,0.114583,0.008801,0.197917,0.229958
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,2,96,0.250000,0.375000,0.074502,0.392380,0.112360,0.656250,0.291667,0.072917,0.006689,0.177083,0.198812
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,3,96,0.187500,0.343750,0.015094,0.383630,0.112360,0.604167,0.322917,0.114583,0.007745,0.187500,0.210773
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,4,96,0.260417,0.489583,0.088179,0.402588,0.112360,0.656250,0.239583,0.177083,0.010562,0.239583,0.207498
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,5,96,0.302083,0.395833,0.127878,0.399255,0.112360,0.583333,0.302083,0.145833,0.011970,0.270833,0.217924
generic_failure_predictor,nominal_morphology,quadruped,precision_contact_manipulation,6,96,0.291667,0.468750,0.122250,0.404047,0.112360,0.572917,0.302083,0.229167,0.006337,0.135417,0.227136
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,0,96,0.250000,0.437500,0.077001,0.397380,0.112360,0.718750,0.208333,0.125000,0.006072,0.145833,0.182728
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,1,96,0.187500,0.322917,0.001705,0.381963,0.112360,0.718750,0.208333,0.135417,0.006983,0.187500,0.189709
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,2,96,0.250000,0.385417,0.070411,0.393213,0.112360,0.552083,0.375000,0.156250,0.008501,0.229167,0.228334
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,3,96,0.187500,0.354167,0.005269,0.384463,0.112360,0.645833,0.291667,0.125000,0.010929,0.302083,0.203399
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,4,96,0.250000,0.427083,0.074991,0.396547,0.112360,0.656250,0.260417,0.125000,0.007590,0.208333,0.195928
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,5,96,0.145833,0.354167,0.038056,0.380297,0.112360,0.645833,0.322917,0.072917,0.007286,0.208333,0.202852
generic_failure_predictor,nominal_morphology,quadruped,disturbance_recovery,6,96,0.250000,0.416667,0.083289,0.395713,0.112360,0.625000,0.291667,0.072917,0.006375,0.145833,0.193390
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,0,96,0.197917,0.343750,0.018630,0.412142,0.095700,0.593750,0.312500,0.104167,0.007907,0.197917,0.199029
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,1,96,0.239583,0.416667,0.061206,0.422142,0.095700,0.635417,0.291667,0.104167,0.008895,0.229167,0.191756
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,2,96,0.270833,0.447917,0.079603,0.427767,0.095700,0.635417,0.250000,0.072917,0.007248,0.135417,0.174143
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,3,96,0.229167,0.416667,0.051311,0.421100,0.095700,0.666667,0.291667,0.135417,0.007907,0.177083,0.193761
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,4,96,0.229167,0.395833,0.040214,0.419433,0.095700,0.635417,0.291667,0.135417,0.011201,0.281250,0.193017
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,5,96,0.208333,0.458333,0.029259,0.422350,0.095700,0.645833,0.291667,0.208333,0.008236,0.239583,0.208982
generic_failure_predictor,nominal_morphology,arm_gripper,tight_turn_navigation,6,96,0.218750,0.364583,0.047805,0.415892,0.095700,0.677083,0.229167,0.125000,0.008236,0.208333,0.185229
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,0,96,0.291667,0.437500,0.104194,0.429017,0.095700,0.583333,0.312500,0.145833,0.006359,0.125000,0.208676
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,1,96,0.250000,0.385417,0.069701,0.420683,0.095700,0.593750,0.281250,0.114583,0.006964,0.177083,0.200232
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,2,96,0.281250,0.416667,0.096591,0.426308,0.095700,0.739583,0.197917,0.104167,0.006662,0.156250,0.168420
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,3,96,0.250000,0.416667,0.061986,0.423183,0.095700,0.645833,0.260417,0.114583,0.007267,0.166667,0.192121
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,4,96,0.270833,0.437500,0.085794,0.426933,0.095700,0.677083,0.270833,0.072917,0.006662,0.177083,0.188409
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,5,96,0.281250,0.468750,0.099844,0.430475,0.095700,0.604167,0.239583,0.083333,0.006359,0.156250,0.187402
generic_failure_predictor,nominal_morphology,arm_gripper,payload_transport,6,96,0.239583,0.458333,0.051992,0.425475,0.095700,0.677083,0.250000,0.052083,0.005450,0.125000,0.177070
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,0,96,0.250000,0.427083,0.073347,0.424017,0.095700,0.666667,0.260417,0.093750,0.007141,0.156250,0.189155
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,1,96,0.250000,0.416667,0.082804,0.423183,0.095700,0.687500,0.250000,0.125000,0.006492,0.166667,0.192596
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,2,96,0.250000,0.447917,0.071679,0.425683,0.095700,0.666667,0.239583,0.156250,0.005843,0.135417,0.195687
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,3,96,0.218750,0.375000,0.035110,0.416725,0.095700,0.562500,0.375000,0.166667,0.007791,0.218750,0.231597
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,4,96,0.312500,0.468750,0.133886,0.433600,0.095700,0.583333,0.312500,0.125000,0.010387,0.239583,0.214442
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,5,96,0.250000,0.500000,0.074552,0.429850,0.095700,0.666667,0.260417,0.135417,0.006492,0.177083,0.197846
generic_failure_predictor,nominal_morphology,arm_gripper,gap_or_step_crossing,6,96,0.260417,0.447917,0.072948,0.426725,0.095700,0.625000,0.260417,0.114583,0.008115,0.218750,0.199550
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,0,96,0.270833,0.416667,0.100513,0.425267,0.095700,0.562500,0.364583,0.156250,0.011832,0.302083,0.238942
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,1,96,0.197917,0.437500,0.017384,0.419642,0.095700,0.604167,0.291667,0.135417,0.006095,0.156250,0.217644
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,2,96,0.260417,0.385417,0.078560,0.421725,0.095700,0.583333,0.312500,0.197917,0.010398,0.239583,0.232942
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,3,96,0.208333,0.364583,0.023098,0.414850,0.095700,0.645833,0.302083,0.125000,0.009322,0.187500,0.209166
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,4,96,0.177083,0.395833,0.006540,0.414225,0.095700,0.583333,0.375000,0.093750,0.008605,0.197917,0.226762
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,5,96,0.250000,0.479167,0.069768,0.428183,0.095700,0.635417,0.250000,0.187500,0.010039,0.229167,0.216369
generic_failure_predictor,nominal_morphology,arm_gripper,precision_contact_manipulation,6,96,0.250000,0.416667,0.071786,0.423183,0.095700,0.645833,0.260417,0.104167,0.010398,0.218750,0.206872
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,0,96,0.114583,0.281250,0.061452,0.398808,0.095700,0.531250,0.416667,0.156250,0.009922,0.291667,0.242579
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,1,96,0.177083,0.385417,0.002760,0.413392,0.095700,0.562500,0.354167,0.114583,0.008062,0.208333,0.221426
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,2,96,0.250000,0.406250,0.071592,0.422350,0.095700,0.677083,0.250000,0.125000,0.006511,0.166667,0.199546
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,3,96,0.197917,0.395833,0.013473,0.416308,0.095700,0.614583,0.312500,0.125000,0.007132,0.208333,0.210621
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,4,96,0.302083,0.489583,0.122780,0.434225,0.095700,0.677083,0.239583,0.093750,0.006821,0.187500,0.190495
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,5,96,0.291667,0.479167,0.110681,0.432350,0.095700,0.562500,0.333333,0.218750,0.006201,0.135417,0.227584
generic_failure_predictor,nominal_morphology,arm_gripper,disturbance_recovery,6,96,0.260417,0.416667,0.077479,0.424225,0.095700,0.635417,0.302083,0.125000,0.005271,0.125000,0.204418
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,0,96,0.281250,0.468750,0.104079,0.366485,0.140920,0.666667,0.239583,0.125000,0.007918,0.187500,0.194490
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,1,96,0.281250,0.489583,0.104554,0.368152,0.140920,0.593750,0.312500,0.156250,0.008951,0.145833,0.211423
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,2,96,0.239583,0.375000,0.058329,0.354818,0.140920,0.656250,0.239583,0.166667,0.008262,0.177083,0.199848
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,3,96,0.239583,0.406250,0.064881,0.357318,0.140920,0.604167,0.291667,0.125000,0.008262,0.187500,0.206957
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,4,96,0.208333,0.322917,0.035106,0.347527,0.140920,0.562500,0.395833,0.125000,0.009984,0.229167,0.230603
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,5,96,0.229167,0.333333,0.051129,0.350443,0.140920,0.614583,0.312500,0.145833,0.009639,0.208333,0.218000
generic_failure_predictor,nominal_morphology,aerial_manipulator,tight_turn_navigation,6,96,0.218750,0.364583,0.039110,0.351902,0.140920,0.572917,0.375000,0.177083,0.006885,0.177083,0.233876
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,0,96,0.270833,0.406250,0.084113,0.360443,0.140920,0.562500,0.343750,0.062500,0.004446,0.114583,0.218917
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,1,96,0.208333,0.354167,0.035223,0.350027,0.140920,0.541667,0.375000,0.197917,0.006987,0.156250,0.243684
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,2,96,0.229167,0.395833,0.050433,0.355443,0.140920,0.687500,0.281250,0.156250,0.009210,0.208333,0.213708
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,3,96,0.229167,0.385417,0.053298,0.354610,0.140920,0.656250,0.291667,0.114583,0.006987,0.145833,0.206358
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,4,96,0.302083,0.427083,0.122732,0.365235,0.140920,0.708333,0.270833,0.135417,0.004129,0.114583,0.207008
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,5,96,0.239583,0.385417,0.057346,0.355652,0.140920,0.604167,0.333333,0.135417,0.005717,0.135417,0.223547
generic_failure_predictor,nominal_morphology,aerial_manipulator,payload_transport,6,96,0.208333,0.416667,0.037030,0.355027,0.140920,0.468750,0.427083,0.135417,0.007622,0.177083,0.252931
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,0,96,0.166667,0.333333,0.009293,0.344193,0.140920,0.666667,0.270833,0.114583,0.006109,0.177083,0.209124
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,1,96,0.229167,0.447917,0.058334,0.359610,0.140920,0.645833,0.270833,0.104167,0.007467,0.187500,0.206081
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,2,96,0.302083,0.468750,0.126663,0.368568,0.140920,0.541667,0.333333,0.156250,0.008146,0.177083,0.229974
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,3,96,0.218750,0.468750,0.036165,0.360235,0.140920,0.625000,0.312500,0.166667,0.007467,0.166667,0.221058
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,4,96,0.281250,0.458333,0.104079,0.365652,0.140920,0.635417,0.260417,0.166667,0.006788,0.114583,0.210411
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,5,96,0.166667,0.458333,0.014066,0.354193,0.140920,0.593750,0.343750,0.114583,0.008485,0.229167,0.226656
generic_failure_predictor,nominal_morphology,aerial_manipulator,gap_or_step_crossing,6,96,0.250000,0.385417,0.074397,0.356693,0.140920,0.489583,0.385417,0.166667,0.007467,0.166667,0.247326
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,0,96,0.229167,0.395833,0.049901,0.355443,0.140920,0.604167,0.322917,0.145833,0.007840,0.166667,0.231578
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,1,96,0.229167,0.395833,0.053026,0.355443,0.140920,0.552083,0.354167,0.104167,0.008587,0.177083,0.231962
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,2,96,0.208333,0.354167,0.029455,0.350027,0.140920,0.510417,0.385417,0.156250,0.008587,0.218750,0.255311
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,3,96,0.260417,0.479167,0.084853,0.365235,0.140920,0.666667,0.250000,0.135417,0.007467,0.177083,0.212498
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,4,96,0.197917,0.343750,0.025877,0.348152,0.140920,0.625000,0.312500,0.104167,0.009334,0.229167,0.223202
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,5,96,0.229167,0.375000,0.059396,0.353777,0.140920,0.687500,0.229167,0.135417,0.015307,0.322917,0.209717
generic_failure_predictor,nominal_morphology,aerial_manipulator,precision_contact_manipulation,6,96,0.145833,0.354167,0.037176,0.343777,0.140920,0.531250,0.416667,0.177083,0.011200,0.250000,0.258193
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,0,96,0.322917,0.437500,0.139716,0.368152,0.140920,0.593750,0.281250,0.166667,0.006497,0.145833,0.227967
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,1,96,0.239583,0.447917,0.050781,0.360652,0.140920,0.604167,0.322917,0.177083,0.010071,0.218750,0.231629
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,2,96,0.156250,0.354167,0.020741,0.344818,0.140920,0.572917,0.364583,0.145833,0.005848,0.135417,0.240314
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,3,96,0.197917,0.333333,0.017810,0.347318,0.140920,0.604167,0.333333,0.093750,0.006822,0.197917,0.227230
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,4,96,0.187500,0.406250,0.010373,0.352110,0.140920,0.531250,0.375000,0.156250,0.009421,0.197917,0.246136
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,5,96,0.260417,0.406250,0.085236,0.359402,0.140920,0.656250,0.250000,0.125000,0.010396,0.229167,0.214376
generic_failure_predictor,nominal_morphology,aerial_manipulator,disturbance_recovery,6,96,0.208333,0.375000,0.034026,0.351693,0.140920,0.593750,0.312500,0.145833,0.007797,0.208333,0.231690
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,0,96,0.177083,0.343750,0.011029,0.344803,0.132590,0.572917,0.343750,0.125000,0.009045,0.250000,0.219117
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,1,96,0.197917,0.343750,0.017977,0.346887,0.132590,0.666667,0.260417,0.125000,0.005360,0.114583,0.191369
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,2,96,0.270833,0.395833,0.086661,0.358345,0.132590,0.697917,0.239583,0.072917,0.007370,0.187500,0.182232
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,3,96,0.156250,0.333333,0.021147,0.341887,0.132590,0.572917,0.375000,0.135417,0.008710,0.250000,0.225182
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,4,96,0.260417,0.385417,0.081874,0.356470,0.132590,0.583333,0.322917,0.197917,0.008375,0.187500,0.220525
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,5,96,0.229167,0.364583,0.047450,0.351678,0.132590,0.677083,0.260417,0.218750,0.005695,0.125000,0.205936
generic_failure_predictor,nominal_morphology,underwater_vehicle,tight_turn_navigation,6,96,0.239583,0.437500,0.061161,0.358553,0.132590,0.614583,0.302083,0.125000,0.010385,0.208333,0.203099
