method,split,morphology,task,seed,episodes,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,0,96,0.281250,0.427083,0.104676,0.415617,0.101650,0.666667,0.260417,0.104167,0.007727,0.197917,0.179931
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,1,96,0.187500,0.354167,0.011961,0.400408,0.101650,0.635417,0.302083,0.104167,0.005255,0.125000,0.184809
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,2,96,0.177083,0.375000,0.002012,0.401033,0.101650,0.614583,0.343750,0.104167,0.006491,0.156250,0.196723
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,3,96,0.260417,0.437500,0.085172,0.414367,0.101650,0.583333,0.312500,0.114583,0.004946,0.104167,0.193734
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,4,96,0.229167,0.427083,0.054840,0.410408,0.101650,0.718750,0.250000,0.083333,0.009891,0.302083,0.177633
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,5,96,0.312500,0.458333,0.135877,0.421242,0.101650,0.572917,0.302083,0.187500,0.007109,0.187500,0.206850
generic_failure_predictor,nominal_morphology,differential_drive,tight_turn_navigation,6,96,0.239583,0.437500,0.069718,0.412283,0.101650,0.656250,0.250000,0.072917,0.008655,0.239583,0.175121
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,0,96,0.145833,0.302083,0.034141,0.392075,0.101650,0.635417,0.322917,0.083333,0.005649,0.166667,0.183013
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,1,96,0.281250,0.479167,0.107089,0.419783,0.101650,0.593750,0.302083,0.093750,0.006214,0.177083,0.185884
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,2,96,0.250000,0.489583,0.077368,0.417492,0.101650,0.729167,0.208333,0.072917,0.005931,0.177083,0.155639
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,3,96,0.218750,0.364583,0.034245,0.404367,0.101650,0.687500,0.270833,0.093750,0.007908,0.239583,0.172729
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,4,96,0.250000,0.427083,0.077167,0.412492,0.101650,0.677083,0.239583,0.072917,0.006214,0.187500,0.165427
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,5,96,0.260417,0.416667,0.082332,0.412700,0.101650,0.583333,0.333333,0.072917,0.006214,0.145833,0.187249
generic_failure_predictor,nominal_morphology,differential_drive,payload_transport,6,96,0.270833,0.427083,0.089810,0.414575,0.101650,0.645833,0.250000,0.125000,0.007626,0.197917,0.175439
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,0,96,0.260417,0.375000,0.083116,0.409367,0.101650,0.708333,0.270833,0.114583,0.007911,0.156250,0.185316
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,1,96,0.260417,0.437500,0.080445,0.414367,0.101650,0.635417,0.291667,0.031250,0.004868,0.114583,0.180081
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,2,96,0.291667,0.500000,0.122907,0.422492,0.101650,0.604167,0.302083,0.062500,0.007911,0.208333,0.193453
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,3,96,0.239583,0.427083,0.062732,0.411450,0.101650,0.635417,0.260417,0.125000,0.006998,0.187500,0.192493
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,4,96,0.239583,0.437500,0.052786,0.412283,0.101650,0.614583,0.343750,0.083333,0.007911,0.208333,0.202985
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,5,96,0.208333,0.427083,0.028287,0.408325,0.101650,0.625000,0.302083,0.135417,0.007606,0.166667,0.202725
generic_failure_predictor,nominal_morphology,differential_drive,gap_or_step_crossing,6,96,0.302083,0.520833,0.120604,0.425200,0.101650,0.593750,0.281250,0.114583,0.006389,0.135417,0.198352
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,0,96,0.197917,0.364583,0.019719,0.402283,0.101650,0.583333,0.302083,0.114583,0.007102,0.197917,0.198152
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,1,96,0.156250,0.385417,0.022118,0.399783,0.101650,0.604167,0.343750,0.062500,0.009807,0.239583,0.199411
generic_failure_predictor,nominal_morphology,differential_drive,precision_contact_manipulation,2,96,0.270833,0.510417,0.101618,0.421242,0.101650,0.677083,0.260417,0.062500,0.008793,0.197917,0.172983
