comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,dominant_failure_accuracy,0.31840277777777776,0.12119091770051615,0.1972118600772616,0.4395936954782939,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,top2_failure_recall,0.24583333333333335,0.09309663917116294,0.1527366941621704,0.3389299725044963,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,calibration_error,0.00785092969096094,0.08514410876844347,-0.07729317907748254,0.0929950384594044,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,early_warning_lead_time,0.1957869166666667,0.015306385710007272,0.18048053095665942,0.21109330237667398,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,cross_morphology_generalization_gap,-0.06075199999999999,0.0,-0.06075199999999999,-0.06075199999999999,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,morphology_shift_detection,0.17922026669534089,0.007082769018510071,0.17213749767683081,0.18630303571385096,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,failure_family_f1,0.28531355354668847,0.10195029218055641,0.18336326136613207,0.38726384572724487,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,task_success,-0.040277777777777746,0.07584590747287613,-0.11612368525065388,0.035568129695098386,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,dominant_failure_rate,-0.06493055555555556,0.0692923799606452,-0.13422293551620076,0.004361824405089643,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,safety_violation_rate,0.04097222222222222,0.06035112025513182,-0.019378898032909597,0.10132334247735404,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,intervention_cost,-0.0012372861500000013,0.00668220142450708,-0.007919487574507082,0.005444915274507078,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,unnecessary_intervention_rate,-0.0024305555555555556,0.00249537037037037,-0.004925925925925926,6.481481481481442e-05,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,planning_regret_to_oracle,-0.015710225247793596,0.02361121035610025,-0.039321435603893846,0.007900985108306655,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_constraint_aware_mpc,robust_utility,-0.027869635726890364,0.1679444971968597,-0.19581413292375005,0.14007486146996934,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,dominant_failure_accuracy,0.378125,0.17695156977581417,0.20117343022418582,0.5550765697758142,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,top2_failure_recall,0.328125,0.1881838321571666,0.1399411678428334,0.5163088321571666,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,calibration_error,0.01123337432090726,0.09703410305142711,-0.08580072873051985,0.10826747737233437,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,early_warning_lead_time,0.2739652500000001,0.029555734508220008,0.24440951549178008,0.3035209845082201,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,cross_morphology_generalization_gap,-0.08584533333333332,0.0,-0.08584533333333332,-0.08584533333333332,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,morphology_shift_detection,0.0844266570463146,0.009075773748769477,0.07535088329754512,0.09350243079508407,10,10,actuator_degradation_shift
