method,metric,mean,ci95,n
bayesian_morphology_belief,dominant_failure_accuracy,0.5807291666666666,0.07322300234841962,10
bayesian_morphology_belief,top2_failure_recall,0.7463541666666667,0.0601830096205793,10
bayesian_morphology_belief,calibration_error,0.13494078812523663,0.06106975060056655,10
bayesian_morphology_belief,early_warning_lead_time,0.6371712916666668,0.008581242230277564,10
bayesian_morphology_belief,cross_morphology_generalization_gap,0.13971466666666665,0.0,10
bayesian_morphology_belief,morphology_shift_detection,0.7652117854965841,0.006120826414147398,10
bayesian_morphology_belief,failure_family_f1,0.4146405916981314,0.06657673519314986,10
bayesian_morphology_belief,task_success,0.5421874999999999,0.13737940061691625,10
bayesian_morphology_belief,dominant_failure_rate,0.19913194444444443,0.07050139867208668,10
bayesian_morphology_belief,safety_violation_rate,0.11649305555555556,0.04761309100866609,10
bayesian_morphology_belief,intervention_cost,0.02488561201875,0.007723679234044771,10
bayesian_morphology_belief,unnecessary_intervention_rate,0.0,0.0,10
bayesian_morphology_belief,planning_regret_to_oracle,0.2382350914320603,0.03054275426007213,10
bayesian_morphology_belief,robust_utility,0.06265874786992814,0.23226237572185002,10
conformal_risk_shield,dominant_failure_accuracy,0.2621527777777778,0.11627457583125973,10
conformal_risk_shield,top2_failure_recall,0.41302083333333334,0.13078501123062347,10
conformal_risk_shield,calibration_error,0.16131668586767417,0.050224770557858456,10
conformal_risk_shield,early_warning_lead_time,0.47814875,0.020034804890975647,10
conformal_risk_shield,cross_morphology_generalization_gap,0.2455,0.0,10
conformal_risk_shield,morphology_shift_detection,0.56264053366308,0.005245836185830487,10
conformal_risk_shield,failure_family_f1,0.16767400240118494,0.0773269813152005,10
conformal_risk_shield,task_success,0.5296875,0.11621309513197127,10
conformal_risk_shield,dominant_failure_rate,0.3564236111111111,0.11609192002875104,10
conformal_risk_shield,safety_violation_rate,0.025868055555555554,0.02612960143267633,10
conformal_risk_shield,intervention_cost,0.04582128156666667,0.008601934871999442,10
conformal_risk_shield,unnecessary_intervention_rate,0.0,0.0,10
conformal_risk_shield,planning_regret_to_oracle,0.2796646804588329,0.0316443876631602,10
conformal_risk_shield,robust_utility,0.007934578147762411,0.22922365386283436,10
constraint_aware_mpc,dominant_failure_accuracy,0.3548611111111111,0.11959977303438556,10
constraint_aware_mpc,top2_failure_recall,0.5361111111111111,0.05673292241368065,10
constraint_aware_mpc,calibration_error,0.19118683420761315,0.0715706621049282,10
constraint_aware_mpc,early_warning_lead_time,0.5625597222222223,0.014685362868769996,10
constraint_aware_mpc,cross_morphology_generalization_gap,0.21050666666666668,0.0,10
constraint_aware_mpc,morphology_shift_detection,0.41471459068072036,0.004188745112929914,10
constraint_aware_mpc,failure_family_f1,0.24338360551852614,0.0924212047121155,10
constraint_aware_mpc,task_success,0.6381944444444444,0.08473030547353089,10
constraint_aware_mpc,dominant_failure_rate,0.2420138888888889,0.10332248943333842,10
constraint_aware_mpc,safety_violation_rate,0.050868055555555555,0.040265564679332046,10
