method,split,groups,mean_dominant_failure_accuracy,ci95_dominant_failure_accuracy,mean_top2_failure_recall,ci95_top2_failure_recall,mean_calibration_error,ci95_calibration_error,mean_early_warning_lead_time,ci95_early_warning_lead_time,mean_cross_morphology_generalization_gap,ci95_cross_morphology_generalization_gap,mean_task_success,ci95_task_success,mean_dominant_failure_rate,ci95_dominant_failure_rate,mean_safety_violation_rate,ci95_safety_violation_rate,mean_intervention_cost,ci95_intervention_cost,mean_unnecessary_intervention_rate,ci95_unnecessary_intervention_rate,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
conformal_risk_shield,actuator_degradation_shift,175,0.31935,0.00683,0.50518,0.00791,0.03642,0.00427,0.53742,0.00355,0.18350,0.00183,0.63827,0.00731,0.26060,0.00663,0.03589,0.00303,0.03468,0.00067,0.00214,0.00132,0.18778,0.00275
conformal_risk_shield,combined_failure_stress,175,0.28089,0.00686,0.47131,0.00806,0.03893,0.00444,0.49847,0.00371,0.23846,0.00183,0.54476,0.00737,0.34006,0.00752,0.05845,0.00361,0.04176,0.00062,0.00000,0.00000,0.26341,0.00286
conformal_risk_shield,nominal_morphology,175,0.35827,0.00687,0.55143,0.00812,0.03747,0.00437,0.56661,0.00361,0.09998,0.00183,0.71083,0.00769,0.20530,0.00672,0.02161,0.00232,0.02614,0.00056,0.31071,0.00760,0.12774,0.00261
conformal_risk_shield,payload_shift,175,0.33185,0.00721,0.52565,0.00759,0.03879,0.00439,0.55651,0.00372,0.15365,0.00183,0.65738,0.00731,0.24435,0.00637,0.03250,0.00299,0.03217,0.00060,0.11815,0.01863,0.17068,0.00247
conformal_risk_shield,terrain_or_fluid_shift,175,0.33095,0.00714,0.51494,0.00749,0.03759,0.00433,0.54836,0.00376,0.16610,0.00183,0.64220,0.00742,0.24804,0.00663,0.03649,0.00295,0.03390,0.00061,0.00417,0.00214,0.18081,0.00221
constraint_aware_mpc,actuator_degradation_shift,175,0.39089,0.00750,0.56119,0.00775,0.10089,0.00740,0.61401,0.00347,0.16281,0.00159,0.67083,0.00723,0.21577,0.00627,0.04542,0.00313,0.02112,0.00045,0.00161,0.00091,0.16318,0.00269
constraint_aware_mpc,combined_failure_stress,175,0.35738,0.00705,0.51994,0.00743,0.08339,0.00691,0.57496,0.00345,0.20779,0.00159,0.56994,0.00805,0.29185,0.00709,0.07726,0.00476,0.02513,0.00047,0.00000,0.00000,0.24003,0.00304
constraint_aware_mpc,nominal_morphology,175,0.42077,0.00780,0.59518,0.00761,0.11465,0.00770,0.64131,0.00342,0.09465,0.00159,0.75202,0.00767,0.16262,0.00601,0.02649,0.00255,0.01611,0.00040,0.21399,0.00614,0.10222,0.00236
constraint_aware_mpc,payload_shift,175,0.40315,0.00725,0.57470,0.00824,0.10542,0.00711,0.63251,0.00331,0.13852,0.00159,0.68536,0.00792,0.20417,0.00641,0.04238,0.00349,0.01963,0.00043,0.08321,0.01309,0.14685,0.00263
constraint_aware_mpc,terrain_or_fluid_shift,175,0.40375,0.00767,0.56786,0.00776,0.10993,0.00752,0.62483,0.00352,0.14872,0.00159,0.66619,0.00758,0.21482,0.00619,0.04810,0.00358,0.02073,0.00043,0.00411,0.00200,0.15879,0.00258
domain_randomized_policy_selector,actuator_degradation_shift,175,0.43470,0.00807,0.60976,0.00832,0.13401,0.00788,0.60227,0.00350,0.15865,0.00159,0.63071,0.00772,0.21923,0.00690,0.08673,0.00489,0.01519,0.00035,0.00143,0.00097,0.18727,0.00308
domain_randomized_policy_selector,combined_failure_stress,175,0.39464,0.00695,0.56327,0.00783,0.11317,0.00695,0.56215,0.00342,0.19846,0.00159,0.53458,0.00780,0.29571,0.00707,0.12482,0.00587,0.01803,0.00037,0.00000,0.00000,0.26560,0.00304
domain_randomized_policy_selector,nominal_morphology,175,0.47226,0.00753,0.64494,0.00695,0.15278,0.00748,0.63044,0.00336,0.09465,0.00159,0.72143,0.00740,0.16506,0.00588,0.05310,0.00407,0.01159,0.00031,0.16679,0.00532,0.11775,0.00267
domain_randomized_policy_selector,payload_shift,175,0.44744,0.00719,0.61720,0.00700,0.13858,0.00718,0.62034,0.00339,0.13433,0.00159,0.66131,0.00767,0.20018,0.00618,0.07214,0.00495,0.01383,0.00031,0.06488,0.00996,0.16452,0.00276
domain_randomized_policy_selector,terrain_or_fluid_shift,175,0.44238,0.00771,0.61619,0.00715,0.13794,0.00762,0.61256,0.00352,0.14323,0.00159,0.63565,0.00758,0.21637,0.00656,0.08994,0.00470,0.01487,0.00034,0.00226,0.00104,0.18149,0.00254
generic_failure_predictor,actuator_degradation_shift,175,0.16125,0.00561,0.32631,0.00751,0.02930,0.00372,0.35183,0.00429,0.24368,0.00260,0.51119,0.00818,0.41292,0.00837,0.16030,0.00622,0.00952,0.00027,0.00167,0.00089,0.30214,0.00361
generic_failure_predictor,combined_failure_stress,175,0.08708,0.00390,0.24994,0.00710,0.04415,0.00339,0.30591,0.00426,0.31976,0.00260,0.39190,0.00800,0.55708,0.00804,0.20613,0.00678,0.01157,0.00030,0.00000,0.00000,0.40358,0.00346
generic_failure_predictor,nominal_morphology,175,0.23732,0.00616,0.40821,0.00728,0.06278,0.00529,0.38759,0.00421,0.11664,0.00260,0.62399,0.00800,0.29577,0.00716,0.12565,0.00574,0.00766,0.00025,0.18714,0.00631,0.20577,0.00297
generic_failure_predictor,payload_shift,175,0.18923,0.00612,0.35143,0.00698,0.03942,0.00430,0.37284,0.00410,0.19357,0.00260,0.54940,0.00754,0.36815,0.00679,0.14762,0.00643,0.00899,0.00024,0.07482,0.01149,0.26695,0.00292
generic_failure_predictor,terrain_or_fluid_shift,175,0.17643,0.00606,0.33869,0.00700,0.03434,0.00415,0.36334,0.00437,0.21040,0.00260,0.52369,0.00772,0.39625,0.00756,0.16815,0.00609,0.00955,0.00027,0.00345,0.00147,0.29045,0.00282
online_system_identification,actuator_degradation_shift,175,0.58345,0.00739,0.73095,0.00644,0.16221,0.00740,0.52912,0.00254,0.11610,0.00049,0.70351,0.00719,0.14333,0.00527,0.05679,0.00440,0.02376,0.00051,0.00125,0.00071,0.13353,0.00256
online_system_identification,combined_failure_stress,175,0.55548,0.00797,0.69964,0.00679,0.15151,0.00779,0.49142,0.00260,0.14429,0.00049,0.61845,0.00750,0.19107,0.00637,0.08994,0.00463,0.02822,0.00055,0.00000,0.00000,0.19300,0.00279
online_system_identification,nominal_morphology,175,0.61286,0.00709,0.75315,0.00705,0.17646,0.00709,0.55544,0.00263,0.07066,0.00049,0.77524,0.00643,0.11018,0.00460,0.03345,0.00297,0.01760,0.00043,0.14286,0.00500,0.08615,0.00217
online_system_identification,payload_shift,175,0.58786,0.00712,0.74071,0.00680,0.15971,0.00726,0.54654,0.00237,0.09879,0.00049,0.71042,0.00731,0.14202,0.00499,0.04958,0.00372,0.02206,0.00049,0.05994,0.00984,0.12289,0.00221
online_system_identification,terrain_or_fluid_shift,175,0.57911,0.00763,0.72917,0.00698,0.15433,0.00758,0.53754,0.00261,0.10509,0.00049,0.70232,0.00739,0.14464,0.00563,0.06143,0.00398,0.02308,0.00050,0.00208,0.00109,0.13196,0.00229
oracle_failure_family,actuator_degradation_shift,175,0.98542,0.00180,0.98810,0.00167,0.13728,0.00202,0.99924,0.00011,0.07253,0.00024,0.95095,0.00373,0.00042,0.00030,0.00810,0.00146,0.00933,0.00022,0.00000,0.00000,0.00359,0.00039
oracle_failure_family,combined_failure_stress,175,0.98685,0.00196,0.98887,0.00191,0.13820,0.00220,0.99891,0.00019,0.07665,0.00024,0.88173,0.00504,0.00185,0.00068,0.02607,0.00293,0.01018,0.00023,0.00000,0.00000,0.02397,0.00120
oracle_failure_family,nominal_morphology,175,0.98429,0.00200,0.98732,0.00176,0.13589,0.00213,0.99945,0.00009,0.06533,0.00024,0.99089,0.00155,0.00012,0.00016,0.00137,0.00057,0.00803,0.00020,0.00000,0.00000,0.00032,0.00010
oracle_failure_family,payload_shift,175,0.98518,0.00186,0.98774,0.00180,0.13655,0.00207,0.99942,0.00009,0.06957,0.00024,0.97601,0.00260,0.00054,0.00034,0.00429,0.00104,0.00900,0.00022,0.00000,0.00000,0.00141,0.00022
oracle_failure_family,terrain_or_fluid_shift,175,0.98530,0.00192,0.98893,0.00165,0.13633,0.00201,0.99941,0.00009,0.07047,0.00024,0.96000,0.00325,0.00077,0.00044,0.00667,0.00124,0.00927,0.00021,0.00000,0.00000,0.00264,0.00026
per_morphology_calibrated_predictor,actuator_degradation_shift,175,0.47970,0.00749,0.66054,0.00701,0.11920,0.00700,0.57722,0.00393,0.16083,0.00226,0.56470,0.00846,0.23815,0.00676,0.13381,0.00555,0.01217,0.00029,0.00101,0.00070,0.23835,0.00305
per_morphology_calibrated_predictor,combined_failure_stress,175,0.41881,0.00795,0.61077,0.00746,0.09175,0.00771,0.53475,0.00405,0.18335,0.00226,0.45202,0.00797,0.32708,0.00724,0.17655,0.00622,0.01425,0.00034,0.00000,0.00000,0.32284,0.00297
per_morphology_calibrated_predictor,nominal_morphology,175,0.54530,0.00757,0.71375,0.00687,0.14816,0.00754,0.60964,0.00395,0.10931,0.00226,0.66589,0.00799,0.16423,0.00607,0.10143,0.00556,0.00916,0.00025,0.12506,0.00466,0.15836,0.00290
per_morphology_calibrated_predictor,payload_shift,175,0.50185,0.00759,0.67881,0.00675,0.12606,0.00759,0.59710,0.00400,0.13530,0.00226,0.59952,0.00845,0.21405,0.00667,0.12554,0.00555,0.01104,0.00029,0.04935,0.00805,0.21127,0.00306
per_morphology_calibrated_predictor,terrain_or_fluid_shift,175,0.49280,0.00729,0.67262,0.00675,0.12442,0.00718,0.58850,0.00409,0.13978,0.00226,0.56905,0.00737,0.23167,0.00629,0.14589,0.00643,0.01170,0.00029,0.00208,0.00102,0.23167,0.00266
proposed_failure_predictive_morphology,actuator_degradation_shift,175,0.68952,0.00701,0.80857,0.00560,0.18976,0.00710,0.75799,0.00302,0.11559,0.00137,0.67411,0.00718,0.12113,0.00474,0.07214,0.00456,0.02607,0.00053,0.00083,0.00058,0.14469,0.00258
proposed_failure_predictive_morphology,combined_failure_stress,175,0.64387,0.00787,0.77339,0.00658,0.16916,0.00778,0.71821,0.00334,0.12506,0.00137,0.58155,0.00749,0.17440,0.00609,0.11024,0.00538,0.03149,0.00060,0.00000,0.00000,0.21059,0.00298
proposed_failure_predictive_morphology,nominal_morphology,175,0.72827,0.00656,0.84202,0.00591,0.20328,0.00658,0.78614,0.00312,0.08999,0.00137,0.75923,0.00657,0.08589,0.00450,0.04595,0.00346,0.01950,0.00046,0.10589,0.00481,0.09394,0.00205
proposed_failure_predictive_morphology,payload_shift,175,0.70274,0.00686,0.82339,0.00627,0.19195,0.00686,0.77670,0.00319,0.10183,0.00137,0.70530,0.00695,0.10804,0.00496,0.06089,0.00444,0.02390,0.00048,0.04399,0.00723,0.12761,0.00236
proposed_failure_predictive_morphology,terrain_or_fluid_shift,175,0.69310,0.00689,0.81726,0.00575,0.18743,0.00688,0.76804,0.00307,0.10357,0.00137,0.67887,0.00712,0.11833,0.00449,0.08042,0.00480,0.02519,0.00049,0.00167,0.00090,0.14175,0.00216
red_team_failure_retrieval,actuator_degradation_shift,175,0.58250,0.00767,0.72435,0.00658,0.18942,0.00773,0.71055,0.00316,0.15175,0.00137,0.66339,0.00817,0.16351,0.00580,0.07399,0.00497,0.02975,0.00057,0.00137,0.00089,0.15847,0.00307
red_team_failure_retrieval,combined_failure_stress,175,0.53929,0.00762,0.69167,0.00752,0.16822,0.00738,0.67122,0.00340,0.18808,0.00137,0.57893,0.00763,0.21911,0.00684,0.11196,0.00552,0.03598,0.00059,0.00000,0.00000,0.22715,0.00307
red_team_failure_retrieval,nominal_morphology,175,0.62375,0.00723,0.76065,0.00627,0.20810,0.00720,0.73918,0.00316,0.08999,0.00137,0.75339,0.00731,0.11786,0.00505,0.04369,0.00360,0.02223,0.00050,0.16238,0.00557,0.10191,0.00239
red_team_failure_retrieval,payload_shift,175,0.59935,0.00745,0.73923,0.00666,0.19553,0.00759,0.72963,0.00322,0.12698,0.00137,0.68982,0.00701,0.14762,0.00534,0.06577,0.00470,0.02754,0.00055,0.06488,0.01041,0.14100,0.00244
red_team_failure_retrieval,terrain_or_fluid_shift,175,0.59381,0.00840,0.73208,0.00744,0.19491,0.00845,0.72130,0.00343,0.13498,0.00137,0.67131,0.00757,0.15220,0.00533,0.07696,0.00489,0.02858,0.00054,0.00333,0.00194,0.15319,0.00248
