variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5800,0.4200,0.0205
observed_only_behavior_clone,nominal,1,600,0.5900,0.4100,0.0066
observed_only_behavior_clone,nominal,2,600,0.6100,0.3900,0.0150
observed_only_behavior_clone,nominal,3,600,0.6033,0.3967,0.0184
observed_only_behavior_clone,nominal,4,600,0.5667,0.4333,0.0171
observed_only_behavior_clone,nominal,5,600,0.5950,0.4050,0.0034
observed_only_behavior_clone,nominal,6,600,0.5900,0.4100,0.0081
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4267,0.5733,0.0059
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4017,0.5983,0.0020
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4300,0.5700,0.0147
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4283,0.5717,0.0231
observed_only_behavior_clone,hidden_mode_shift,4,600,0.3883,0.6117,0.0157
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4467,0.5533,0.0280
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4033,0.5967,0.0151
observed_only_behavior_clone,embodiment_shift,0,600,0.4550,0.5450,0.0016
observed_only_behavior_clone,embodiment_shift,1,600,0.4283,0.5717,0.0079
observed_only_behavior_clone,embodiment_shift,2,600,0.4300,0.5700,0.0179
observed_only_behavior_clone,embodiment_shift,3,600,0.4083,0.5917,0.0295
observed_only_behavior_clone,embodiment_shift,4,600,0.4750,0.5250,0.0384
observed_only_behavior_clone,embodiment_shift,5,600,0.4633,0.5367,0.0121
observed_only_behavior_clone,embodiment_shift,6,600,0.4733,0.5267,0.0223
observed_only_behavior_clone,combined_stress,0,600,0.3200,0.6800,0.0158
observed_only_behavior_clone,combined_stress,1,600,0.3233,0.6767,0.0047
observed_only_behavior_clone,combined_stress,2,600,0.3333,0.6667,0.0030
observed_only_behavior_clone,combined_stress,3,600,0.3167,0.6833,0.0036
observed_only_behavior_clone,combined_stress,4,600,0.3167,0.6833,0.0024
observed_only_behavior_clone,combined_stress,5,600,0.3100,0.6900,0.0237
observed_only_behavior_clone,combined_stress,6,600,0.3367,0.6633,0.0033
data_augmentation_wam,nominal,0,600,0.6250,0.3750,0.0181
data_augmentation_wam,nominal,1,600,0.6217,0.3783,0.0149
data_augmentation_wam,nominal,2,600,0.6567,0.3433,0.0030
data_augmentation_wam,nominal,3,600,0.6483,0.3517,0.0055
data_augmentation_wam,nominal,4,600,0.6150,0.3850,0.0184
data_augmentation_wam,nominal,5,600,0.6150,0.3850,0.0202
data_augmentation_wam,nominal,6,600,0.6200,0.3800,0.0159
data_augmentation_wam,hidden_mode_shift,0,600,0.5200,0.4800,0.0272
data_augmentation_wam,hidden_mode_shift,1,600,0.4850,0.5150,0.0013
data_augmentation_wam,hidden_mode_shift,2,600,0.5600,0.4400,0.0566
data_augmentation_wam,hidden_mode_shift,3,600,0.4967,0.5033,0.0068
data_augmentation_wam,hidden_mode_shift,4,600,0.4950,0.5050,0.0119
data_augmentation_wam,hidden_mode_shift,5,600,0.5000,0.5000,0.0151
data_augmentation_wam,hidden_mode_shift,6,600,0.4467,0.5533,0.0389
data_augmentation_wam,embodiment_shift,0,600,0.5233,0.4767,0.0032
data_augmentation_wam,embodiment_shift,1,600,0.4983,0.5017,0.0153
data_augmentation_wam,embodiment_shift,2,600,0.5583,0.4417,0.0276
data_augmentation_wam,embodiment_shift,3,600,0.5450,0.4550,0.0141
data_augmentation_wam,embodiment_shift,4,600,0.4817,0.5183,0.0288
data_augmentation_wam,embodiment_shift,5,600,0.4983,0.5017,0.0140
data_augmentation_wam,embodiment_shift,6,600,0.5283,0.4717,0.0154
data_augmentation_wam,combined_stress,0,600,0.4483,0.5517,0.0266
data_augmentation_wam,combined_stress,1,600,0.3950,0.6050,0.0203
data_augmentation_wam,combined_stress,2,600,0.4050,0.5950,0.0274
data_augmentation_wam,combined_stress,3,600,0.4133,0.5867,0.0192
data_augmentation_wam,combined_stress,4,600,0.3867,0.6133,0.0254
data_augmentation_wam,combined_stress,5,600,0.4350,0.5650,0.0211
data_augmentation_wam,combined_stress,6,600,0.3867,0.6133,0.0279
scalar_uncertainty_planner,nominal,0,600,0.6850,0.3150,0.0059
scalar_uncertainty_planner,nominal,1,600,0.6983,0.3017,0.0141
scalar_uncertainty_planner,nominal,2,600,0.6750,0.3250,0.0177
scalar_uncertainty_planner,nominal,3,600,0.6667,0.3333,0.0171
scalar_uncertainty_planner,nominal,4,600,0.6983,0.3017,0.0081
scalar_uncertainty_planner,nominal,5,600,0.6800,0.3200,0.0088
scalar_uncertainty_planner,nominal,6,600,0.6583,0.3417,0.0191
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5817,0.4183,0.0123
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5800,0.4200,0.0173
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5567,0.4433,0.0145
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5717,0.4283,0.0094
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5917,0.4083,0.0230
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5517,0.4483,0.0156
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5617,0.4383,0.0057
scalar_uncertainty_planner,embodiment_shift,0,600,0.5500,0.4500,0.0414
scalar_uncertainty_planner,embodiment_shift,1,600,0.6017,0.3983,0.0170
scalar_uncertainty_planner,embodiment_shift,2,600,0.6067,0.3933,0.0135
scalar_uncertainty_planner,embodiment_shift,3,600,0.5917,0.4083,0.0074
scalar_uncertainty_planner,embodiment_shift,4,600,0.5733,0.4267,0.0174
scalar_uncertainty_planner,embodiment_shift,5,600,0.5950,0.4050,0.0057
scalar_uncertainty_planner,embodiment_shift,6,600,0.5667,0.4333,0.0113
scalar_uncertainty_planner,combined_stress,0,600,0.4950,0.5050,0.0169
scalar_uncertainty_planner,combined_stress,1,600,0.5000,0.5000,0.0052
scalar_uncertainty_planner,combined_stress,2,600,0.5100,0.4900,0.0037
scalar_uncertainty_planner,combined_stress,3,600,0.5083,0.4917,0.0036
scalar_uncertainty_planner,combined_stress,4,600,0.5033,0.4967,0.0079
scalar_uncertainty_planner,combined_stress,5,600,0.5167,0.4833,0.0069
scalar_uncertainty_planner,combined_stress,6,600,0.4683,0.5317,0.0301
ensemble_disagreement_planner,nominal,0,600,0.6617,0.3383,0.0298
ensemble_disagreement_planner,nominal,1,600,0.6950,0.3050,0.0176
ensemble_disagreement_planner,nominal,2,600,0.7000,0.3000,0.0029
ensemble_disagreement_planner,nominal,3,600,0.6850,0.3150,0.0211
ensemble_disagreement_planner,nominal,4,600,0.6700,0.3300,0.0323
ensemble_disagreement_planner,nominal,5,600,0.6850,0.3150,0.0221
ensemble_disagreement_planner,nominal,6,600,0.7267,0.2733,0.0326
ensemble_disagreement_planner,hidden_mode_shift,0,600,0.6133,0.3867,0.0287
ensemble_disagreement_planner,hidden_mode_shift,1,600,0.6183,0.3817,0.0126
ensemble_disagreement_planner,hidden_mode_shift,2,600,0.6217,0.3783,0.0256
ensemble_disagreement_planner,hidden_mode_shift,3,600,0.6200,0.3800,0.0207
ensemble_disagreement_planner,hidden_mode_shift,4,600,0.5833,0.4167,0.0122
ensemble_disagreement_planner,hidden_mode_shift,5,600,0.5900,0.4100,0.0103
ensemble_disagreement_planner,hidden_mode_shift,6,600,0.6033,0.3967,0.0161
ensemble_disagreement_planner,embodiment_shift,0,600,0.5933,0.4067,0.0107
ensemble_disagreement_planner,embodiment_shift,1,600,0.6650,0.3350,0.0398
ensemble_disagreement_planner,embodiment_shift,2,600,0.6550,0.3450,0.0395
ensemble_disagreement_planner,embodiment_shift,3,600,0.6150,0.3850,0.0037
ensemble_disagreement_planner,embodiment_shift,4,600,0.5867,0.4133,0.0283
ensemble_disagreement_planner,embodiment_shift,5,600,0.5917,0.4083,0.0281
ensemble_disagreement_planner,embodiment_shift,6,600,0.5933,0.4067,0.0133
ensemble_disagreement_planner,combined_stress,0,600,0.5367,0.4633,0.0025
ensemble_disagreement_planner,combined_stress,1,600,0.5533,0.4467,0.0019
ensemble_disagreement_planner,combined_stress,2,600,0.5333,0.4667,0.0123
ensemble_disagreement_planner,combined_stress,3,600,0.5500,0.4500,0.0012
ensemble_disagreement_planner,combined_stress,4,600,0.5350,0.4650,0.0100
ensemble_disagreement_planner,combined_stress,5,600,0.5250,0.4750,0.0248
ensemble_disagreement_planner,combined_stress,6,600,0.5383,0.4617,0.0016
conformal_risk_filter,nominal,0,600,0.6983,0.3017,0.0141
conformal_risk_filter,nominal,1,600,0.6817,0.3183,0.0238
conformal_risk_filter,nominal,2,600,0.7017,0.2983,0.0042
conformal_risk_filter,nominal,3,600,0.7200,0.2800,0.0002
conformal_risk_filter,nominal,4,600,0.6933,0.3067,0.0210
conformal_risk_filter,nominal,5,600,0.6900,0.3100,0.0118
conformal_risk_filter,nominal,6,600,0.6867,0.3133,0.0161
conformal_risk_filter,hidden_mode_shift,0,600,0.6250,0.3750,0.0121
conformal_risk_filter,hidden_mode_shift,1,600,0.5950,0.4050,0.0110
conformal_risk_filter,hidden_mode_shift,2,600,0.6517,0.3483,0.0453
conformal_risk_filter,hidden_mode_shift,3,600,0.6083,0.3917,0.0124
conformal_risk_filter,hidden_mode_shift,4,600,0.6233,0.3767,0.0084
conformal_risk_filter,hidden_mode_shift,5,600,0.6017,0.3983,0.0007
conformal_risk_filter,hidden_mode_shift,6,600,0.5967,0.4033,0.0066
conformal_risk_filter,embodiment_shift,0,600,0.6383,0.3617,0.0073
conformal_risk_filter,embodiment_shift,1,600,0.6267,0.3733,0.0026
conformal_risk_filter,embodiment_shift,2,600,0.6383,0.3617,0.0138
conformal_risk_filter,embodiment_shift,3,600,0.6483,0.3517,0.0095
conformal_risk_filter,embodiment_shift,4,600,0.5967,0.4033,0.0364
conformal_risk_filter,embodiment_shift,5,600,0.6000,0.4000,0.0205
conformal_risk_filter,embodiment_shift,6,600,0.6183,0.3817,0.0030
conformal_risk_filter,combined_stress,0,600,0.5650,0.4350,0.0009
conformal_risk_filter,combined_stress,1,600,0.5350,0.4650,0.0240
conformal_risk_filter,combined_stress,2,600,0.5317,0.4683,0.0277
conformal_risk_filter,combined_stress,3,600,0.5583,0.4417,0.0154
conformal_risk_filter,combined_stress,4,600,0.5117,0.4883,0.0563
conformal_risk_filter,combined_stress,5,600,0.5600,0.4400,0.0046
conformal_risk_filter,combined_stress,6,600,0.5633,0.4367,0.0071
proposed_branch_mechanism,nominal,0,600,0.7417,0.2583,0.0204
proposed_branch_mechanism,nominal,1,600,0.7400,0.2600,0.0217
proposed_branch_mechanism,nominal,2,600,0.7650,0.2350,0.0008
proposed_branch_mechanism,nominal,3,600,0.7517,0.2483,0.0058
proposed_branch_mechanism,nominal,4,600,0.7783,0.2217,0.0134
proposed_branch_mechanism,nominal,5,600,0.7500,0.2500,0.0115
proposed_branch_mechanism,nominal,6,600,0.7400,0.2600,0.0168
proposed_branch_mechanism,hidden_mode_shift,0,600,0.7317,0.2683,0.0345
proposed_branch_mechanism,hidden_mode_shift,1,600,0.6983,0.3017,0.0016
proposed_branch_mechanism,hidden_mode_shift,2,600,0.7050,0.2950,0.0058
proposed_branch_mechanism,hidden_mode_shift,3,600,0.6367,0.3633,0.0558
proposed_branch_mechanism,hidden_mode_shift,4,600,0.7033,0.2967,0.0034
proposed_branch_mechanism,hidden_mode_shift,5,600,0.6850,0.3150,0.0115
proposed_branch_mechanism,hidden_mode_shift,6,600,0.6833,0.3167,0.0085
proposed_branch_mechanism,embodiment_shift,0,600,0.7383,0.2617,0.0291
proposed_branch_mechanism,embodiment_shift,1,600,0.6950,0.3050,0.0139
proposed_branch_mechanism,embodiment_shift,2,600,0.7067,0.2933,0.0046
proposed_branch_mechanism,embodiment_shift,3,600,0.6917,0.3083,0.0129
proposed_branch_mechanism,embodiment_shift,4,600,0.7250,0.2750,0.0130
proposed_branch_mechanism,embodiment_shift,5,600,0.6933,0.3067,0.0153
proposed_branch_mechanism,embodiment_shift,6,600,0.7083,0.2917,0.0044
proposed_branch_mechanism,combined_stress,0,600,0.6467,0.3533,0.0200
proposed_branch_mechanism,combined_stress,1,600,0.6850,0.3150,0.0187
proposed_branch_mechanism,combined_stress,2,600,0.6783,0.3217,0.0096
proposed_branch_mechanism,combined_stress,3,600,0.6483,0.3517,0.0137
proposed_branch_mechanism,combined_stress,4,600,0.6750,0.3250,0.0056
proposed_branch_mechanism,combined_stress,5,600,0.6200,0.3800,0.0460
proposed_branch_mechanism,combined_stress,6,600,0.6767,0.3233,0.0154
oracle_branch_upper_bound,nominal,0,600,0.7983,0.2017,0.0088
oracle_branch_upper_bound,nominal,1,600,0.7733,0.2267,0.0324
oracle_branch_upper_bound,nominal,2,600,0.8117,0.1883,0.0103
oracle_branch_upper_bound,nominal,3,600,0.7933,0.2067,0.0161
oracle_branch_upper_bound,nominal,4,600,0.8183,0.1817,0.0071
oracle_branch_upper_bound,nominal,5,600,0.8117,0.1883,0.0007
oracle_branch_upper_bound,nominal,6,600,0.7967,0.2033,0.0158
oracle_branch_upper_bound,hidden_mode_shift,0,600,0.7933,0.2067,0.0313
oracle_branch_upper_bound,hidden_mode_shift,1,600,0.7683,0.2317,0.0078
oracle_branch_upper_bound,hidden_mode_shift,2,600,0.7817,0.2183,0.0048
oracle_branch_upper_bound,hidden_mode_shift,3,600,0.7250,0.2750,0.0392
oracle_branch_upper_bound,hidden_mode_shift,4,600,0.7750,0.2250,0.0089
oracle_branch_upper_bound,hidden_mode_shift,5,600,0.7550,0.2450,0.0108
oracle_branch_upper_bound,hidden_mode_shift,6,600,0.7750,0.2250,0.0077
oracle_branch_upper_bound,embodiment_shift,0,600,0.7867,0.2133,0.0160
oracle_branch_upper_bound,embodiment_shift,1,600,0.7617,0.2383,0.0076
oracle_branch_upper_bound,embodiment_shift,2,600,0.7750,0.2250,0.0105
oracle_branch_upper_bound,embodiment_shift,3,600,0.7550,0.2450,0.0179
oracle_branch_upper_bound,embodiment_shift,4,600,0.7917,0.2083,0.0169
oracle_branch_upper_bound,embodiment_shift,5,600,0.7467,0.2533,0.0279
oracle_branch_upper_bound,embodiment_shift,6,600,0.7900,0.2100,0.0140
oracle_branch_upper_bound,combined_stress,0,600,0.6950,0.3050,0.0460
oracle_branch_upper_bound,combined_stress,1,600,0.7500,0.2500,0.0105
oracle_branch_upper_bound,combined_stress,2,600,0.7583,0.2417,0.0025
oracle_branch_upper_bound,combined_stress,3,600,0.7250,0.2750,0.0182
oracle_branch_upper_bound,combined_stress,4,600,0.7650,0.2350,0.0199
oracle_branch_upper_bound,combined_stress,5,600,0.7150,0.2850,0.0298
oracle_branch_upper_bound,combined_stress,6,600,0.7500,0.2500,0.0037
