case_id,seed,morphology,task,split,episode,predicted_family,true_family,success,safety_violation,regret,utility,failure_mode
1,5,soft_snake_robot,precision_contact_manipulation,combined_failure_stress,5,actuator_saturation,contact_geometry,0,1,0.588654,-2.000000,wrong_family
2,0,aerial_manipulator,cluttered_tool_use,combined_failure_stress,1,energy_budget,contact_geometry,0,1,0.584383,-2.000000,wrong_family
3,5,aerial_manipulator,cluttered_tool_use,combined_failure_stress,5,state_estimation_dropout,contact_geometry,0,1,0.580970,-2.000000,wrong_family
4,5,soft_snake_robot,cluttered_tool_use,combined_failure_stress,5,state_estimation_dropout,contact_geometry,0,1,0.580513,-2.000000,wrong_family
5,0,aerial_manipulator,precision_contact_manipulation,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.578328,-2.000000,wrong_family
6,5,aerial_manipulator,precision_contact_manipulation,combined_failure_stress,5,contact_geometry,payload_inertia,0,1,0.576217,-2.000000,wrong_family
7,0,underwater_vehicle,precision_contact_manipulation,combined_failure_stress,1,kinodynamic_limit,state_estimation_dropout,0,1,0.576193,-2.000000,wrong_family
8,5,underwater_vehicle,disturbance_recovery,combined_failure_stress,5,state_estimation_dropout,actuator_saturation,0,1,0.574821,-2.000000,wrong_family
9,5,soft_snake_robot,gap_or_step_crossing,combined_failure_stress,5,contact_geometry,traction_or_slip,0,1,0.574261,-2.000000,wrong_family
10,0,soft_snake_robot,cluttered_tool_use,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.572163,-2.000000,wrong_family
11,0,soft_snake_robot,precision_contact_manipulation,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.566887,-2.000000,wrong_family
12,0,underwater_vehicle,cluttered_tool_use,combined_failure_stress,1,kinodynamic_limit,state_estimation_dropout,0,1,0.566761,-2.000000,wrong_family
13,0,soft_snake_robot,payload_transport,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.565130,-2.000000,wrong_family
14,0,aerial_manipulator,disturbance_recovery,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.564833,-2.000000,wrong_family
15,0,quadruped,disturbance_recovery,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.563975,-2.000000,wrong_family
16,0,aerial_manipulator,gap_or_step_crossing,combined_failure_stress,1,energy_budget,contact_geometry,0,1,0.562912,-2.000000,wrong_family
17,0,soft_snake_robot,disturbance_recovery,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.561808,-2.000000,wrong_family
18,0,arm_gripper,disturbance_recovery,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.560933,-2.000000,wrong_family
19,0,arm_gripper,cluttered_tool_use,combined_failure_stress,1,energy_budget,contact_geometry,0,1,0.560766,-2.000000,wrong_family
20,0,aerial_manipulator,payload_transport,combined_failure_stress,1,contact_geometry,payload_inertia,0,1,0.558043,-2.000000,wrong_family
21,0,aerial_manipulator,cluttered_tool_use,low_signal_morphology_stress,1,kinodynamic_limit,state_estimation_dropout,0,1,0.557448,-2.000000,wrong_family
22,0,underwater_vehicle,payload_transport,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.556842,-2.000000,wrong_family
23,0,soft_snake_robot,gap_or_step_crossing,combined_failure_stress,1,state_estimation_dropout,actuator_saturation,0,1,0.555911,-2.000000,wrong_family
24,0,arm_gripper,precision_contact_manipulation,combined_failure_stress,1,energy_budget,contact_geometry,0,1,0.555838,-2.000000,wrong_family
