split,morphology,task,method,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,morphology_shift_detection,failure_family_f1,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle,robust_utility
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,bayesian_morphology_belief,0.6125,0.7875,0.11733031233067646,0.671517,0.132144,0.5030587854965841,0.41716666666666663,0.675,0.125,0.1,0.0227461122,0.0,0.17180162561333118,0.31950311158066813
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,conformal_risk_shield,0.3375,0.4875,0.17401667540848337,0.514815,0.20648,0.3724242003297467,0.1933030303030303,0.6,0.2625,0.025,0.03918447900000001,0.0,0.21274679589958495,0.2026243133100958
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,constraint_aware_mpc,0.4125,0.575,0.18395782797378402,0.5967250000000001,0.17880000000000001,0.27485392401405373,0.2000434961863533,0.7,0.175,0.0375,0.022087728000000004,0.0,0.16910838492108182,0.3950993258890608
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,cost_calibrated_failure_predictive_morphology_v5,0.725,0.825,0.18413527949951297,0.7946420000000002,0.11494400000000002,0.459627524042728,0.49823038073038073,0.65,0.125,0.0875,0.021301914600000003,0.0,0.15292888254676462,0.33389942778138415
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,domain_randomized_policy_selector,0.475,0.65,0.21798588531913046,0.5867180000000001,0.17697600000000002,0.3034925377282633,0.24944949494949495,0.6,0.1625,0.1625,0.015185313000000002,0.0,0.20612912995785276,0.1260796210074115
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,failure_predictive_morphology_v4,0.6375,0.8,0.14152169431582043,0.7290550000000002,0.12855999999999998,0.40740372535684466,0.43738636363636363,0.6875,0.1375,0.075,0.032282064000000006,0.0,0.1665066922660997,0.35763532587164465
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,generic_failure_classifier,0.1375,0.3125,0.05290591202831138,0.32241499999999995,0.28288,0.12293272820688259,0.05678004535147392,0.4875,0.45,0.2375,0.009981954000000001,0.0,0.3351901801266367,-0.34592619969668875
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,meta_adaptive_mpc,0.55,0.725,0.19896593608340452,0.547212,0.12718400000000002,0.39275392401405373,0.2767272727272727,0.725,0.1375,0.0375,0.0234469728,0.0,0.1359065400275413,0.47237475832445125
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,morphology_failure_transformer_prior,0.6625,0.7875,0.21824150295135464,0.7227530000000002,0.13289600000000001,0.42360240820813544,0.45052020202020204,0.6,0.125,0.1375,0.0252309816,0.0,0.18489862946033536,0.19727616620741992
actuator_degradation_shift,aerial_manipulator,cluttered_tool_use,online_system_identification,0.5625,0.7375,0.14849509775939473,0.5126010000000001,0.11483199999999999,0.43448621105050056,0.38743398268398266,0.7625,0.1,0.075,0.0286503318,0.0,0.12669473463755354,0.48717103644371257
