ablation,metric,mean,ci95,n
failure_history_only,dominant_failure_accuracy,0.3962673611111111,0.08792384245973625,10
failure_history_only,top2_failure_recall,0.6370659722222223,0.05685029725949747,10
failure_history_only,calibration_error,0.12158871671142477,0.05883530717136133,10
failure_history_only,early_warning_lead_time,0.7443266736111112,0.011309345529685894,10
failure_history_only,cross_morphology_generalization_gap,0.20647466666666664,0.0,10
failure_history_only,morphology_shift_detection,0.3570367027261211,0.004717224481928083,10
failure_history_only,failure_family_f1,0.23985454187934346,0.06557570148715525,10
failure_history_only,task_success,0.6144965277777777,0.06996065229364488,10
failure_history_only,dominant_failure_rate,0.25633680555555555,0.07259172860090587,10
failure_history_only,safety_violation_rate,0.13090277777777778,0.04011639450697215,10
failure_history_only,intervention_cost,0.018940973488541665,0.005233981100851049,10
failure_history_only,unnecessary_intervention_rate,0.00043402777777777775,0.0004572345250771167,10
failure_history_only,planning_regret_to_oracle,0.23125156310560227,0.02183123522949682,10
failure_history_only,robust_utility,0.09623853036460393,0.15124716593579185,10
full_cost_calibrated_failure_predictive_morphology_v5,dominant_failure_accuracy,0.7159722222222222,0.08661605052251573,10
full_cost_calibrated_failure_predictive_morphology_v5,top2_failure_recall,0.8110243055555555,0.08047809241983654,10
full_cost_calibrated_failure_predictive_morphology_v5,calibration_error,0.19483421094844544,0.05068202910816683,10
full_cost_calibrated_failure_predictive_morphology_v5,early_warning_lead_time,0.7870167777777779,0.013770681512921249,10
full_cost_calibrated_failure_predictive_morphology_v5,cross_morphology_generalization_gap,0.10614966666666667,0.0,10
full_cost_calibrated_failure_predictive_morphology_v5,morphology_shift_detection,0.5823794397458825,0.0053872620388313,10
full_cost_calibrated_failure_predictive_morphology_v5,failure_family_f1,0.5269513740503324,0.09128917689125111,10
full_cost_calibrated_failure_predictive_morphology_v5,task_success,0.6073784722222222,0.06164417328905325,10
full_cost_calibrated_failure_predictive_morphology_v5,dominant_failure_rate,0.11371527777777778,0.05275403111608546,10
full_cost_calibrated_failure_predictive_morphology_v5,safety_violation_rate,0.12413194444444445,0.0662338454839692,10
full_cost_calibrated_failure_predictive_morphology_v5,intervention_cost,0.022536573982291665,0.005004000277142439,10
full_cost_calibrated_failure_predictive_morphology_v5,unnecessary_intervention_rate,0.0,0.0,10
full_cost_calibrated_failure_predictive_morphology_v5,planning_regret_to_oracle,0.17256236151769777,0.025089990171008,10
full_cost_calibrated_failure_predictive_morphology_v5,robust_utility,0.23573321676957934,0.14863645497209116,10
minus_confidence_gate,dominant_failure_accuracy,0.7838541666666666,0.10373729563001739,10
minus_confidence_gate,top2_failure_recall,0.8394965277777777,0.08141321145812257,10
minus_confidence_gate,calibration_error,0.22769393565876114,0.08905486825691881,10
minus_confidence_gate,early_warning_lead_time,0.7954039305555557,0.01564152006933163,10
minus_confidence_gate,cross_morphology_generalization_gap,0.10614966666666667,0.0,10
minus_confidence_gate,morphology_shift_detection,0.5827403276736222,0.004702780250094066,10
minus_confidence_gate,failure_family_f1,0.6445634067211448,0.15568321786203956,10
minus_confidence_gate,task_success,0.6590277777777778,0.11371926305333992,10
minus_confidence_gate,dominant_failure_rate,0.07352430555555556,0.06269748229820198,10
minus_confidence_gate,safety_violation_rate,0.14131944444444444,0.044658568579350855,10
minus_confidence_gate,intervention_cost,0.024367256506597223,0.004494548090471158,10
minus_confidence_gate,unnecessary_intervention_rate,0.0,0.0,10
minus_confidence_gate,planning_regret_to_oracle,0.15757297480837618,0.034157258677386865,10
minus_confidence_gate,robust_utility,0.3135402053895199,0.2054259115535575,10
minus_constraint_family_head,dominant_failure_accuracy,0.4717881944444444,0.10969561098635393,10
minus_constraint_family_head,top2_failure_recall,0.6534722222222222,0.10255102611678048,10
minus_constraint_family_head,calibration_error,0.1649700761849037,0.06557975043981835,10
minus_constraint_family_head,early_warning_lead_time,0.7524360486111112,0.01653782760358113,10
minus_constraint_family_head,cross_morphology_generalization_gap,0.10614966666666667,0.0,10
minus_constraint_family_head,morphology_shift_detection,0.580340418599677,0.003993369039999233,10
minus_constraint_family_head,failure_family_f1,0.3062406782022357,0.08331211839910023,10
minus_constraint_family_head,task_success,0.5694444444444444,0.11511446288418707,10
minus_constraint_family_head,dominant_failure_rate,0.20625,0.09833811912919788,10
minus_constraint_family_head,safety_violation_rate,0.13862847222222222,0.043540673244741715,10
minus_constraint_family_head,intervention_cost,0.019859966871180555,0.0043835700001992415,10
minus_constraint_family_head,unnecessary_intervention_rate,0.0001736111111111111,0.0003402777777777777,10
minus_constraint_family_head,planning_regret_to_oracle,0.21758927290598512,0.02719342564516547,10
minus_constraint_family_head,robust_utility,0.08095563345628451,0.21818391407432672,10
minus_cost_calibration,dominant_failure_accuracy,0.7022569444444444,0.07228400302264945,10
minus_cost_calibration,top2_failure_recall,0.7990451388888888,0.06978794525311173,10
minus_cost_calibration,calibration_error,0.35128751142329706,0.07721407169509215,10
minus_cost_calibration,early_warning_lead_time,0.7848240694444445,0.010574394670179035,10
minus_cost_calibration,cross_morphology_generalization_gap,0.10614966666666667,0.0,10
minus_cost_calibration,morphology_shift_detection,0.5837030750310164,0.006181140711893716,10
minus_cost_calibration,failure_family_f1,0.5054726741328924,0.08579929665737694,10
minus_cost_calibration,task_success,0.68828125,0.13363467180429323,10
minus_cost_calibration,dominant_failure_rate,0.10572916666666667,0.05590517540483716,10
