split,budget,method,metric,mean,ci95,n
combined_failure_stress,0.00,conformal_risk_shield,coverage,0.011111111111111112,0.01961448795814161,10
combined_failure_stress,0.00,conformal_risk_shield,accepted_success,0.2,0.2613333333333333,10
combined_failure_stress,0.00,conformal_risk_shield,accepted_safety_violation,0.0,0.0,10
combined_failure_stress,0.00,conformal_risk_shield,accepted_regret,0.022039610344827588,0.02880927489202751,10
combined_failure_stress,0.00,conformal_risk_shield,accepted_utility,0.17845782183908046,0.23318532270171202,10
combined_failure_stress,0.00,conformal_risk_shield,accepted_cost,0.013587680459770116,0.01775603826787709,10
combined_failure_stress,0.00,constraint_aware_mpc,coverage,0.0024305555555555556,0.004064385048570726,10
combined_failure_stress,0.00,constraint_aware_mpc,accepted_success,0.2,0.2613333333333333,10
combined_failure_stress,0.00,constraint_aware_mpc,accepted_safety_violation,0.0,0.0,10
combined_failure_stress,0.00,constraint_aware_mpc,accepted_regret,0.00827895,0.010821541832584958,10
combined_failure_stress,0.00,constraint_aware_mpc,accepted_utility,0.18931535,0.2473723973484552,10
combined_failure_stress,0.00,constraint_aware_mpc,accepted_cost,0.010865366666666668,0.014205205054189228,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,coverage,0.22881944444444444,0.06753520981924331,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,accepted_success,1.0,0.0,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,accepted_safety_violation,0.015178571428571427,0.029749999999999995,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,accepted_regret,0.03364194562879853,0.005912731442973644,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,accepted_utility,0.9348522382571014,0.03971364052969778,10
combined_failure_stress,0.00,cost_calibrated_failure_predictive_morphology_v5,accepted_cost,0.05027819177357309,0.00026072628799118474,10
combined_failure_stress,0.00,meta_adaptive_mpc,coverage,0.07430555555555556,0.03464526162333379,10
combined_failure_stress,0.00,meta_adaptive_mpc,accepted_success,0.9,0.19599999999999998,10
combined_failure_stress,0.00,meta_adaptive_mpc,accepted_safety_violation,0.08928571428571429,0.175,10
combined_failure_stress,0.00,meta_adaptive_mpc,accepted_regret,0.03339244281053129,0.020825279017441994,10
combined_failure_stress,0.00,meta_adaptive_mpc,accepted_utility,0.7414751443143943,0.28059418508824796,10
