stress_level,method,morphology,task,seed,task_success,dominant_failure_accuracy,dominant_failure_rate,safety_violation_rate,planning_regret_to_oracle
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,0,0.589286,0.428571,0.232143,0.071429,0.170423
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,1,0.696429,0.607143,0.160714,0.125000,0.142972
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,2,0.678571,0.642857,0.125000,0.089286,0.136879
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,3,0.678571,0.500000,0.160714,0.071429,0.141000
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,4,0.767857,0.571429,0.125000,0.125000,0.124402
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,5,0.714286,0.482143,0.178571,0.071429,0.145200
0.0,per_morphology_calibrated_predictor,differential_drive,tight_turn_navigation,6,0.750000,0.553571,0.178571,0.125000,0.130017
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,0,0.767857,0.428571,0.142857,0.017857,0.116491
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,1,0.767857,0.571429,0.125000,0.071429,0.116364
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,2,0.678571,0.482143,0.160714,0.000000,0.129649
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,3,0.696429,0.517857,0.142857,0.035714,0.128842
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,4,0.589286,0.446429,0.267857,0.035714,0.153962
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,5,0.892857,0.589286,0.089286,0.017857,0.095459
0.0,per_morphology_calibrated_predictor,differential_drive,payload_transport,6,0.785714,0.464286,0.160714,0.089286,0.134384
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,0,0.696429,0.607143,0.125000,0.071429,0.134714
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,1,0.732143,0.535714,0.125000,0.071429,0.138619
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,2,0.678571,0.535714,0.214286,0.071429,0.150025
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,3,0.660714,0.553571,0.142857,0.053571,0.146111
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,4,0.589286,0.482143,0.214286,0.071429,0.163830
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,5,0.678571,0.535714,0.214286,0.053571,0.150340
0.0,per_morphology_calibrated_predictor,differential_drive,gap_or_step_crossing,6,0.660714,0.607143,0.125000,0.125000,0.155130
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,0,0.625000,0.482143,0.178571,0.089286,0.151229
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,1,0.678571,0.625000,0.125000,0.053571,0.130477
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,2,0.714286,0.553571,0.160714,0.071429,0.138566
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,3,0.785714,0.571429,0.125000,0.089286,0.120359
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,4,0.857143,0.607143,0.053571,0.035714,0.102980
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,5,0.732143,0.553571,0.125000,0.017857,0.118398
0.0,per_morphology_calibrated_predictor,differential_drive,precision_contact_manipulation,6,0.750000,0.589286,0.125000,0.107143,0.136834
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,0,0.696429,0.571429,0.178571,0.107143,0.155137
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,1,0.678571,0.625000,0.107143,0.071429,0.136763
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,2,0.607143,0.642857,0.160714,0.142857,0.163458
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,3,0.678571,0.607143,0.107143,0.035714,0.131271
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,4,0.589286,0.500000,0.232143,0.089286,0.170534
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,5,0.678571,0.535714,0.142857,0.035714,0.133066
0.0,per_morphology_calibrated_predictor,differential_drive,disturbance_recovery,6,0.553571,0.517857,0.232143,0.071429,0.173297
0.0,per_morphology_calibrated_predictor,quadruped,tight_turn_navigation,0,0.696429,0.660714,0.089286,0.035714,0.119370
0.0,per_morphology_calibrated_predictor,quadruped,tight_turn_navigation,1,0.696429,0.571429,0.178571,0.071429,0.138713
0.0,per_morphology_calibrated_predictor,quadruped,tight_turn_navigation,2,0.857143,0.607143,0.053571,0.053571,0.108175
0.0,per_morphology_calibrated_predictor,quadruped,tight_turn_navigation,3,0.625000,0.625000,0.178571,0.017857,0.139542
0.0,per_morphology_calibrated_predictor,quadruped,tight_turn_navigation,4,0.714286,0.482143,0.125000,0.053571,0.134606
