seed,ablation,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,morphology_shift_detection,failure_family_f1,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle,robust_utility
0,failure_history_only,0.28125,0.65625,0.03454921744538547,0.7355098333333334,0.20647466666666664,0.36077716456551556,0.16191926707551707,0.7491319444444444,0.13194444444444445,0.006944444444444444,0.018002470875,0.001736111111111111,0.18214553097484104,0.5020401064427235
0,full_cost_calibrated_failure_predictive_morphology_v5,0.75,0.75,0.2068189581309104,0.7851973333333334,0.10614966666666667,0.5795785612341768,0.5219620567190012,0.4800347222222222,0.125,0.3585069444444444,0.023322023958333334,0.0,0.2117464716087545,-0.22681639924071148
0,minus_confidence_gate,0.7326388888888888,0.7326388888888888,0.14428040159164554,0.7822459444444445,0.10614966666666667,0.585532081205462,0.5632700596911906,0.4027777777777778,0.2456597222222222,0.2560763888888889,0.012001647249999999,0.0,0.2587892073219953,-0.23768228544939468
0,minus_constraint_family_head,0.25,0.5052083333333334,0.11184901743922766,0.7206140000000001,0.10614966666666667,0.5834735102613807,0.14704907039976484,0.4887152777777778,0.2717013888888889,0.0859375,0.02830931936111111,0.001736111111111111,0.22838107510481334,-0.004868762088779731
0,minus_cost_calibration,0.8411458333333334,0.9574652777777778,0.5067962493708593,0.8099976805555557,0.10614966666666667,0.593437319685353,0.7469524720392776,0.7838541666666666,0.08680555555555555,0.1597222222222222,0.03534176621875,0.0,0.15483298150432523,0.3904700625929793
0,minus_failure_history,0.5659722222222222,0.6284722222222222,0.08942927383892854,0.7477166111111112,0.12479766666666667,0.582735629944422,0.34084387953683587,0.4635416666666667,0.21354166666666666,0.1232638888888889,0.01729055475,0.0,0.23786186710519397,-0.035655584388913544
0,minus_morphology_embedding,0.5720486111111112,0.5720486111111112,0.18312120191478012,0.7549455972222223,0.22688466666666668,0.3055068760997474,0.3560537411405467,0.84375,0.10243055555555555,0.0763888888888889,0.018519219302083334,0.0,0.1703434035654513,0.538745413262691
0,minus_online_correction,0.5,0.625,0.058540523706156505,0.7327933333333334,0.13702833333333334,0.5699923756458481,0.31270262145262145,0.5,0.125,0.18055555555555555,0.030004118125,0.001736111111111111,0.2241174622494237,0.054866375926870416
0,morphology_only,0.625,0.75,0.30182144740003725,0.7527993333333334,0.134347,0.594889049988427,0.41130592557427875,0.4809027777777778,0.2065972222222222,0.17100694444444445,0.018002470875,0.0,0.2308315603734748,-0.018082031314569508
0,online_adaptation_only,0.1875,0.4270833333333333,0.18232254419291039,0.722423,0.19434933333333335,0.5945669124706061,0.10167104959267657,0.75,0.25,0.109375,0.04724335196875,0.0,0.17907797268594686,0.2666671607338997
1,failure_history_only,0.3107638888888889,0.6701388888888888,0.03034018034087505,0.7392771944444445,0.20647466666666664,0.3561923150623252,0.17853469263687516,0.6119791666666666,0.2647569444444444,0.09635416666666667,0.030004118125,0.001736111111111111,0.20247669955475886,0.1264954621557597
1,full_cost_calibrated_failure_predictive_morphology_v5,0.4513888888888889,0.6076388888888888,0.11867262841964717,0.7469334444444445,0.10614966666666667,0.565600099261574,0.2633207402899863,0.5789930555555556,0.2751736111111111,0.1189236111111111,0.02168281507638889,0.0,0.20763135220989967,0.055100439446473
1,minus_confidence_gate,0.921875,0.921875,0.3371027903388486,0.8144160833333335,0.10614966666666667,0.5751936737947225,0.8348206371817483,0.8706597222222222,0.0,0.1701388888888889,0.027203590527777776,0.0,0.12107578723399304,0.560991444309816
1,minus_constraint_family_head,0.75,0.875,0.3919593676127464,0.7951973333333334,0.10614966666666667,0.5806802192749908,0.563255693637638,0.75,0.125,0.11458333333333333,0.014317066194444443,0.0,0.1885172368243438,0.3683660877687927
1,minus_cost_calibration,0.75,0.75,0.41830150311220793,0.7851973333333334,0.10614966666666667,0.582735629944422,0.5104504892153702,0.5494791666666666,0.125,0.1328125,0.0307162254375,0.0,0.18871504335953904,0.13754070986811434
1,minus_failure_history,0.375,0.5,0.1369678731873078,0.7202513333333335,0.12479766666666667,0.5745432897644787,0.218590029165426,0.5164930555555556,0.4079861111111111,0.0,0.013549640288194444,0.0,0.23928138025959866,0.016509862355260092
1,minus_morphology_embedding,0.3385416666666667,0.6197916666666666,0.06326464875879464,0.7377494166666667,0.22688466666666668,0.3234725759045484,0.20084733388304815,0.8324652777777778,0.1519097222222222,0.0,0.030240179583333332,0.001736111111111111,0.1549303799546753,0.588530930997005
1,minus_online_correction,0.75,0.875,0.1759880437683844,0.7752933333333334,0.13702833333333334,0.5920433366764439,0.5346254651983818,0.7465277777777778,0.0008680555555555555,0.13194444444444445,0.016110209763888887,0.0,0.16625435312508569,0.4572751361964678
1,morphology_only,0.875,0.875,0.5574002369473928,0.7852993333333333,0.134347,0.5799699809233043,0.736686338353005,0.3723958333333333,0.0,0.0,0.00840903215625,0.0,0.21538728584697409,0.21784066877013897
1,online_adaptation_only,0.5625,0.5625,0.19807106620103007,0.7670063333333335,0.19434933333333335,0.5827124125219961,0.37176701449270894,0.7013888888888888,0.125,0.11979166666666667,0.034072473125,0.0,0.16278210087469897,0.3223692220370163
2,failure_history_only,0.5,0.5989583333333334,0.14498523343159087,0.7506140000000001,0.20647466666666664,0.37016844144615535,0.292224719082358,0.4782986111111111,0.25,0.21875,0.012096467625,0.0,0.2637033533041691,-0.18517464663305727
